Entity,Code,Year,Probability of plastic being emitted to ocean
Africa,,2015,22.72
Albania,ALB,2015,1.56
Algeria,DZA,2015,0.09
Angola,AGO,2015,0.09
Antigua and Barbuda,ATG,2015,3.08
Argentina,ARG,2015,0.26
Asia,,2015,79.92
Australia,AUS,2015,0.18
Bahamas,BHS,2015,2.04
Bahrain,BHR,2015,0
Bangladesh,BGD,2015,2.32
Barbados,BRB,2015,4.35
Belgium,BEL,2015,0.71
Belize,BLZ,2015,3.54
Benin,BEN,2015,0.14
Bosnia and Herzegovina,BIH,2015,0.95
Brazil,BRA,2015,0.24
Brunei,BRN,2015,10.22
Bulgaria,BGR,2015,0.13
Burkina Faso,BFA,2015,0
Cambodia,KHM,2015,0.63
Cameroon,CMR,2015,0.45
Canada,CAN,2015,0.55
Cape Verde,CPV,2015,0
Chile,CHL,2015,2.58
China,CHN,2015,0.19
Colombia,COL,2015,0.62
Comoros,COM,2015,0
Congo,COG,2015,0.08
Costa Rica,CRI,2015,6.25
Cote d'Ivoire,CIV,2015,0
Croatia,HRV,2015,0
Cyprus,CYP,2015,0.62
Democratic Republic of Congo,COD,2015,0.01
Denmark,DNK,2015,2.33
Djibouti,DJI,2015,0.22
Dominica,DMA,2015,7.73
Dominican Republic,DOM,2015,2.59
EU-27,,2015,15.91
Ecuador,ECU,2015,0.57
Egypt,EGY,2015,0.04
El Salvador,SLV,2015,2.71
Equatorial Guinea,GNQ,2015,2.97
Eritrea,ERI,2015,0.13
Estonia,EST,2015,0.76
Europe,,2015,23.74
Fiji,FJI,2015,7.54
Finland,FIN,2015,0
France,FRA,2015,0.56
French Guiana,GUF,2015,2.18
Gabon,GAB,2015,0.7
Gambia,GMB,2015,0.67
Georgia,GEO,2015,1.23
Germany,DEU,2015,0.26
Ghana,GHA,2015,0.28
Greece,GRC,2015,0.91
Grenada,GRD,2015,5.99
Guadeloupe,GLP,2015,4.35
Guatemala,GTM,2015,1.74
Guinea,GIN,2015,0
Guinea-Bissau,GNB,2015,2.36
Guyana,GUY,2015,0.89
Haiti,HTI,2015,2.95
Honduras,HND,2015,1.48
Hong Kong,HKG,2015,4.51
Iceland,ISL,2015,0
India,IND,2015,0.45
Indonesia,IDN,2015,4.45
Iran,IRN,2015,0.07
Iraq,IRQ,2015,0.01
Ireland,IRL,2015,2.97
Israel,ISR,2015,0.29
Italy,ITA,2015,0.88
Jamaica,JAM,2015,5.07
Japan,JPN,2015,3.58
Jordan,JOR,2015,0.07
Kazakhstan,KAZ,2015,0.1
Kenya,KEN,2015,0.17
Kiribati,KIR,2015,0
Kuwait,KWT,2015,0.2
Latvia,LVA,2015,0.5
Lebanon,LBN,2015,1.27
Lesotho,LSO,2015,0
Liberia,LBR,2015,3.68
Libya,LBY,2015,0.06
Lithuania,LTU,2015,0.21
Macau,,2015,1.62
Madagascar,MDG,2015,1.58
Malaysia,MYS,2015,4.38
Maldives,MDV,2015,0
Malta,MLT,2015,0
Marshall Islands,MHL,2015,0
Martinique,MTQ,2015,10.11
Mauritania,MRT,2015,0.1
Mauritius,MUS,2015,0
Mexico,MEX,2015,0.46
Micronesia,,2015,5
Monaco,MCO,2015,0
Montenegro,MNE,2015,2.08
Morocco,MAR,2015,0.15
Mozambique,MOZ,2015,0.36
Myanmar,MMR,2015,0.36
Namibia,NAM,2015,0.05
Netherlands,NLD,2015,1.54
New Zealand,NZL,2015,3.78
Nicaragua,NIC,2015,2.08
Nigeria,NGA,2015,0.42
North America,,2015,102.99
North Korea,PRK,2015,0.69
Norway,NOR,2015,0
Oceania,,2015,39.97
Oman,OMN,2015,0.11
Pakistan,PAK,2015,0.02
Palau,PLW,2015,13.74
Palestine,PSE,2015,9.29
Panama,PAN,2015,7.12
Papua New Guinea,PNG,2015,4.39
Peru,PER,2015,0.05
Philippines,PHL,2015,7.17
Poland,POL,2015,0.13
Portugal,PRT,2015,0.84
Puerto Rico,PRI,2015,5.77
Qatar,QAT,2015,0.07
Reunion,REU,2015,0
Romania,ROU,2015,0.04
Russia,RUS,2015,0.12
Saint Kitts and Nevis,KNA,2015,2.52
Saint Lucia,LCA,2015,7.92
Saint Martin,,2015,0
Saint Vincent and the Grenadines,VCT,2015,7.19
Samoa,WSM,2015,0
Sao Tome and Principe,STP,2015,3.67
Saudi Arabia,SAU,2015,0.06
Senegal,SEN,2015,0.21
Seychelles,SYC,2015,0
Sierra Leone,SLE,2015,3.09
Singapore,SGP,2015,10.49
Sint Maarten,,2015,0
Slovakia,SVK,2015,0
Slovenia,SVN,2015,1.13
Solomon Islands,SLB,2015,10.34
Somalia,SOM,2015,0.14
South Africa,ZAF,2015,0.12
South America,,2015,9.15
South Korea,KOR,2015,1.59
Spain,ESP,2015,0.36
Sri Lanka,LKA,2015,3.42
Sudan,SDN,2015,0.01
Suriname,SUR,2015,0.85
Sweden,SWE,2015,1.03
Syria,SYR,2015,0.12
Taiwan,TWN,2015,5.64
Tanzania,TZA,2015,0.22
Thailand,THA,2015,0.9
Timor,TLS,2015,3.8
Togo,TGO,2015,0.17
Tonga,TON,2015,0
Trinidad and Tobago,TTO,2015,5.05
Tunisia,TUN,2015,0.18
Turkey,TUR,2015,0.37
Ukraine,UKR,2015,0.1
United Arab Emirates,ARE,2015,0.18
United Kingdom,GBR,2015,3.02
United States,USA,2015,0.35
Uruguay,URY,2015,0.52
Venezuela,VEN,2015,0.39
Vietnam,VNM,2015,1.6
Western Sahara,ESH,2015,0.11
Yemen,YEM,2015,0.07
Zimbabwe,ZWE,2015,0
